Id,x,y,Expression,Action,Gesture,Interaction
person1,162,88,Neutral,Walking,Down,Reading Book
person1,162,92,Neutral,Walking,Down,Reading Book
person1,162,94,Neutral,Walking,Down,Reading Book
person1,161,90,Neutral,Walking,Down,Reading Book
person1,161,93,Neutral,Walking,Down,Reading Book
person1,160,85,Neutral,Walking,Down,Reading Book
person1,159,79,Sad,Walking,Down,Reading Book
person1,172,77,Neutral,Sitting,Down,Reading Book
person1,171,83,None,Walking,Down,Reading Book
person1,171,82,Neutral,Walking,Left Hand Up,Reading Book
person1,169,82,Neutral,Walking,Down,Reading Book
person1,171,107,Sad,Walking,Down,Reading Book
person1,171,106,None,Walking,Down,Reading Book
person1,170,103,Sad,Walking,Down,Reading Book
person1,171,106,Sad,Walking,Down,Reading Book
person1,171,112,None,Walking,Down,Reading Book
person1,171,110,Sad,Walking,Down,Reading Book
person1,171,111,None,Walking,Down,Reading Book
person1,171,109,Sad,Walking,Down,Reading Book
person1,170,102,None,Walking,Down,Reading Book
person1,170,103,None,Walking,Down,Reading Book
person1,171,103,None,Walking,Down,Reading Book
person1,170,99,None,Walking,Down,Reading Book
person1,170,88,Sad,Walking,Down,Reading Book
person1,170,94,None,Walking,Left Hand Up,Reading Book
person1,170,94,None,Walking,Down,Reading Book
person1,169,83,Sad,Walking,Down,Reading Book
person1,169,82,Sad,Walking,Down,Reading Book
person1,169,82,Sad,Walking,Down,Reading Book
person1,169,81,Neutral,Walking,Down,Reading Book
person1,169,80,Neutral,Walking,Down,Reading Book
person1,168,79,Neutral,Walking,Down,Reading Book
person1,169,68,Neutral,Walking,Down,Reading Book
person1,167,57,Sad,Walking,Down,Reading Book
person1,167,53,Sad,Walking,Down,Reading Book
person1,167,53,Neutral,Walking,Down,Reading Book
person1,166,56,Neutral,Walking,Down,Reading Book
person1,169,53,Neutral,Walking,Down,Reading Book
person1,169,47,Neutral,Walking,Down,Reading Book
person1,173,43,Neutral,Walking,Down,Reading Book
person1,178,44,Sad,Walking,Down,Reading Book
person1,191,42,Sad,Walking,Down,Reading Book
