time,x,y,action,interactions,target_obj
29:49.3,2,410,laying,none,none
29:49.5,2,410,laying,none,none
29:49.7,24,453,laying,none,none
29:49.9,4,419,laying,none,none
29:50.1,6,416,laying,none,none
29:50.3,6,416,laying,none,none
29:50.5,11,416,laying,none,none
29:50.7,11,416,laying,none,none
29:50.9,11,415,laying,none,none
29:51.1,27,446,laying,none,none
29:51.5,4,429,laying,none,none
29:51.8,24,454,laying,none,none
29:52.0,3,420,laying,none,none
29:52.4,3,415,laying,none,none
29:52.6,25,446,laying,none,none
29:52.8,14,431,laying,none,none
29:53.0,7,421,laying,none,none
29:53.2,23,453,laying,none,none
29:53.8,23,453,laying,none,none
29:54.0,0,420,laying,none,none
29:54.2,0,420,laying,none,none
29:54.4,1,417,laying,none,none
29:54.6,25,450,laying,none,none
29:54.9,10,411,laying,none,none
29:55.1,17,420,laying,none,none
29:55.3,29,435,laying,none,none
29:55.5,14,424,laying,none,none
29:55.7,6,417,laying,none,none
29:55.9,26,444,laying,none,none
29:56.1,13,413,laying,none,none
29:56.3,13,414,laying,none,none
29:56.5,13,414,laying,none,none
29:56.7,28,438,laying,none,none
29:56.9,11,427,laying,none,none
29:57.1,1,419,laying,none,none
29:57.3,25,450,laying,none,none
29:57.5,2,415,laying,none,none
29:57.7,1,416,laying,none,none
29:58.0,1,416,laying,none,none
29:58.2,24,452,laying,none,none
29:58.4,2,418,laying,none,none
29:58.6,1,420,laying,none,none
29:58.8,24,453,laying,none,none
29:59.0,2,418,laying,none,none
29:59.2,10,432,laying,none,none
29:59.4,23,455,laying,none,none
29:59.6,9,434,laying,none,none
29:59.8,0,422,laying,none,none
30:00.0,7,441,laying,none,none
30:00.2,20,473,laying,none,none
30:00.4,5,420,laying,none,none
30:00.6,5,420,laying,none,none
30:00.8,33,453,laying,none,none
30:01.0,34,420,laying,none,none
30:01.2,35,402,sitting,none,none
30:01.5,41,426,sitting,none,none
30:01.7,37,453,sitting,none,none
30:02.9,22,430,laying,none,none
30:03.1,25,403,laying,none,none
30:03.3,28,390,laying,none,none
30:03.9,3,388,walking,none,none
30:04.1,3,388,walking,none,none
30:04.4,21,445,walking,none,none
30:04.6,31,422,walking,none,none
30:04.8,34,422,walking,none,none
30:05.0,19,439,walking,none,none
30:05.2,0,484,walking,none,none
30:06.0,4,468,standing,none,none
30:07.2,8,449,sitting,none,none
30:07.4,5,470,sitting,none,none
30:08.5,8,423,standing,none,none
30:08.7,2,399,standing,none,none
30:09.1,34,381,standing,none,none
30:09.3,37,371,standing,none,none
30:09.5,43,326,walking,none,none
30:09.7,47,319,standing,none,none
30:09.9,48,301,walking,none,none
30:10.1,47,298,walking,none,none
30:10.3,51,285,sitting,none,none
30:10.5,54,287,sitting,none,none
30:10.7,72,282,sitting,none,none
30:10.9,75,285,sitting,none,none
30:11.1,53,279,sitting,none,none
30:11.4,52,279,sitting,none,none
30:11.6,48,284,sitting,none,none
30:11.8,47,283,sitting,none,none
30:12.0,44,274,sitting,none,none
30:12.2,44,271,sitting,none,none
30:12.4,41,262,sitting,none,none
30:12.6,50,268,sitting,none,none
30:12.8,48,258,sitting,none,none
30:13.0,51,255,sitting,none,none
30:13.2,53,269,sitting,none,none
30:13.4,72,269,sitting,none,none
30:13.6,74,270,sitting,none,none
30:13.8,58,269,sitting,none,none
30:14.0,57,269,sitting,none,none
30:14.2,52,266,sitting,none,none
30:14.4,50,271,sitting,none,none
30:14.7,47,266,sitting,none,none
30:14.9,80,277,sitting,none,none
30:15.1,80,276,sitting,none,none
30:15.3,48,262,sitting,none,none
30:15.5,59,256,sitting,none,none
30:15.7,56,256,sitting,none,none
30:15.9,57,262,sitting,none,none
30:16.1,51,257,sitting,none,none
30:16.3,53,255,sitting,none,none
30:16.5,55,247,sitting,none,none
30:16.7,53,260,sitting,none,none
30:16.9,56,252,walking,none,none
30:17.1,52,253,walking,none,none
30:17.3,46,242,walking,none,none
30:17.5,41,244,walking,none,none
30:17.8,37,239,walking,none,none
30:18.0,25,233,walking,none,none
30:18.2,24,225,walking,none,none
30:18.4,30,200,walking,none,none
30:18.6,34,191,walking,none,none
30:18.8,37,183,walking,none,none
30:19.0,40,165,walking,none,none
30:19.2,43,149,walking,none,none
30:19.4,46,135,walking,none,none
30:19.6,44,121,walking,none,none
30:19.8,70,94,standing,none,none
30:20.0,68,93,standing,none,none
30:20.2,86,70,standing,none,none
30:20.4,96,62,standing,none,none
30:20.6,104,55,standing,none,none
30:20.8,115,45,standing,none,none
30:21.1,123,50,standing,none,none
30:21.3,142,37,standing,none,none
30:21.5,142,44,walking,none,none
30:21.7,137,51,walking,none,none
30:21.9,125,65,walking,none,none
30:22.1,132,60,walking,none,none
30:22.3,135,57,walking,none,none
30:22.5,127,59,walking,none,none
30:22.7,106,77,walking,none,none
30:22.9,114,76,walking,none,none
30:23.1,98,97,walking,none,none
30:23.3,105,100,walking,none,none
30:23.5,92,118,walking,none,none
30:23.7,98,120,walking,none,none
30:23.9,91,143,walking,none,none
30:24.1,93,142,walking,none,none
30:24.4,89,154,walking,none,none
30:24.6,94,156,walking,none,none
30:24.8,95,164,walking,none,none
30:25.0,102,167,walking,none,none
30:25.2,115,173,walking,none,none
30:25.4,113,173,walking,none,none
30:25.6,113,176,sitting,none,none
30:25.8,113,170,sitting,none,none
30:26.0,117,166,sitting,none,none
30:26.2,116,154,sitting,none,none
30:26.4,119,150,sitting,none,none
30:26.6,121,128,sitting,none,none
30:26.8,114,110,sitting,none,none
30:27.0,111,106,sitting,none,none
30:27.2,113,114,sitting,none,none
30:27.4,117,105,sitting,none,none
30:27.7,119,115,sitting,none,none
30:27.9,123,107,sitting,none,none
30:28.1,123,108,sitting,none,none
30:28.3,118,115,sitting,eating,food
30:28.5,121,117,sitting,eating,food
30:28.7,118,119,sitting,eating,food
30:28.9,114,135,sitting,eating,food
30:29.1,119,117,sitting,none,none
30:29.3,118,120,sitting,none,none
30:29.5,124,113,sitting,none,none
30:29.7,117,110,sitting,eating,food
30:29.9,123,116,sitting,none,none
30:30.1,118,110,sitting,eating,food
30:30.3,125,116,sitting,none,none
30:30.5,121,111,sitting,eating,food
30:30.8,128,114,sitting,eating,food
30:31.0,127,127,sitting,eating,food
30:31.2,134,120,sitting,eating,food
30:31.4,122,115,sitting,eating,food
30:31.6,128,114,sitting,eating,food
30:31.8,120,119,sitting,eating,food
30:32.0,124,111,sitting,eating,food
30:32.2,120,120,sitting,eating,food
30:32.4,123,111,sitting,eating,food
30:32.6,122,117,sitting,eating,food
30:32.8,124,111,sitting,eating,food
30:33.0,122,118,sitting,eating,food
30:33.2,126,118,sitting,eating,food
30:33.4,124,117,sitting,eating,food
30:33.6,129,119,sitting,none,none
30:33.8,122,117,sitting,none,none
30:34.1,127,114,sitting,none,none
30:34.3,120,115,sitting,none,none
30:34.5,130,118,sitting,none,none
30:34.7,119,119,sitting,none,none
30:34.9,125,113,sitting,none,none
30:35.1,121,116,sitting,none,none
30:35.3,120,115,sitting,none,none
30:35.5,117,120,sitting,eating,food
30:35.7,115,116,sitting,none,none
30:35.9,113,119,sitting,eating,food
30:36.1,109,105,sitting,none,none
30:36.3,111,113,sitting,none,none
30:36.5,122,121,sitting,none,none
30:36.7,121,123,sitting,none,none
30:37.0,121,119,sitting,eating,food
30:37.2,122,121,sitting,eating,food
30:37.4,123,119,sitting,none,none
30:37.6,121,117,sitting,none,none
30:37.8,121,118,sitting,none,none
30:38.0,118,114,sitting,none,none
30:38.2,122,119,sitting,none,none
30:38.4,119,108,sitting,none,none
30:38.6,123,116,sitting,none,none
30:38.8,123,110,sitting,none,none
30:39.0,122,112,sitting,none,none
30:39.2,121,114,sitting,none,none
30:39.4,119,108,sitting,drinking,bottle
30:39.6,121,116,sitting,drinking,bottle
30:39.8,119,108,sitting,drinking,bottle
30:40.0,113,122,sitting,drinking,bottle
30:40.2,119,118,sitting,drinking,bottle
30:40.5,116,115,sitting,drinking,bottle
30:40.7,123,117,sitting,drinking,bottle
30:40.9,116,112,sitting,drinking,bottle
30:41.1,122,114,sitting,none,none
30:41.3,117,110,sitting,drinking,bottle
30:41.5,123,115,sitting,none,none
30:41.7,122,115,sitting,none,none
30:41.9,120,118,sitting,none,none
30:42.1,113,120,sitting,none,none
30:42.3,117,115,sitting,none,none
30:42.5,121,116,sitting,none,none
30:42.7,123,110,sitting,none,none
30:42.9,118,136,sitting,eating,food
30:43.1,122,117,sitting,none,none
30:43.3,121,121,sitting,none,none
30:43.5,110,116,sitting,none,none
30:43.7,113,126,sitting,none,none
30:44.0,122,117,sitting,none,none
30:44.2,119,112,sitting,none,none
30:44.4,126,118,sitting,none,none
30:44.6,120,113,sitting,none,none
30:44.8,128,115,sitting,none,none
30:45.0,120,107,sitting,none,none
30:45.2,133,102,sitting,none,none
30:45.4,127,101,sitting,none,none
30:45.6,125,106,sitting,none,none
30:45.8,120,119,sitting,none,none
30:46.0,123,110,sitting,none,none
30:46.2,121,115,sitting,none,none
30:46.4,124,111,sitting,none,none
30:46.6,120,120,sitting,none,none
30:46.8,122,116,sitting,none,none
30:47.0,114,122,sitting,none,none
30:47.3,114,123,sitting,none,none
30:47.5,112,106,sitting,none,none
30:47.7,118,120,sitting,none,none
30:47.9,115,114,sitting,none,none
30:48.1,125,119,sitting,none,none
30:48.3,127,112,sitting,none,none
30:48.5,127,115,sitting,none,none
30:48.7,130,114,sitting,none,none
30:48.9,127,107,sitting,none,none
30:49.1,126,118,sitting,none,none
30:49.3,123,113,sitting,none,none
30:49.5,128,113,sitting,none,none
30:49.7,119,108,sitting,none,none
30:49.9,122,107,sitting,none,none
30:50.1,115,109,sitting,none,none
30:50.3,120,108,sitting,eating,food
30:50.6,111,122,sitting,none,none
30:50.8,101,133,sitting,none,none
30:51.0,100,145,sitting,none,none
30:51.2,93,149,sitting,none,none
30:51.4,98,176,walking,none,none
30:51.6,94,169,walking,none,none
30:51.8,88,162,walking,none,none
30:52.0,83,173,walking,none,none
30:52.2,83,160,walking,none,none
30:52.4,68,154,walking,none,none
30:52.6,67,144,walking,none,none
30:52.8,74,130,walking,none,none
30:53.0,70,130,walking,none,none
30:53.2,71,125,walking,none,none
30:53.4,71,126,standing,none,none
30:53.6,82,124,standing,none,none
30:53.8,78,130,standing,none,none
30:54.1,82,121,standing,none,none
30:54.3,84,140,standing,none,none
30:54.5,82,138,standing,none,none
30:54.7,94,151,walking,none,none
30:54.9,94,152,standing,none,none
30:55.1,102,157,walking,none,none
30:55.3,98,159,standing,none,none
30:55.5,99,175,walking,none,none
30:55.7,100,195,walking,none,none
30:55.9,100,206,walking,none,none
30:56.1,106,228,walking,none,none
30:56.3,101,238,walking,none,none
30:56.5,105,253,walking,none,none
30:56.7,114,284,walking,none,none
30:56.9,110,295,walking,none,none
30:57.2,121,306,walking,none,none
30:57.4,129,322,walking,none,none
30:57.6,150,330,walking,none,none
30:57.8,164,321,walking,none,none
30:58.0,179,311,walking,none,none
30:58.2,191,326,walking,none,none
30:58.4,237,321,walking,none,none
30:58.6,246,305,walking,none,none
